got 1000 titles
collaborative writing project, About wikiHow
English, Learn English
English, Learn English
English, Learn English
physics, Understand Classical Physics
German, Learn German
German, Speak Simple German
Spanish, Learn to Speak Spanish
Spanish, Learn to Speak Spanish
Spanish, Learn to Speak Spanish
Thai, Speak Thai
Russian, Learn Russian
Finnish, Speak Finnish
Polish, Speak Polish
Hacking, Infiltrate Private Computer  Accounts by Hacking
memory palace, Build a Memory Palace
magician, Be a Great Magician
spoon, Hold a Spoon
spoon, Use a Spoon
spoon, Eat an Apple With a Spoon
spoon, Use a Spoon As a Knife
spoon, Hang a Spoon from Your Nose
spoon, Make a Wooden Spoon Puppet
spoon, Make Chocolate Dipped Spoons
spoon, Use a Spoon
psychic, Develop Psychic Abilities
psychic, Perform the Psychic Card Guessing Effect
spoons, Make Shell Spoons
Yard sales, Hold a Successful Garage Sale
thrift stores, Shop at Thrift Stores
thrift stores, Shop at Thrift Stores
thrift stores, Shop at Thrift Stores
thumb, Thumb Wrestle
thumb, Light Matches With Your Thumb
table, Make a Table
table, Make a Table
table, Make a Table
key, Do the Ghost Key Magic Trick
trick, Win a Dollar with a Trick
bottle, Open a Bottle Without a Bottle Opener
bottle, Make a Cloud in a Bottle
bottle, Open a Bottle Without a Bottle Opener
beer, Shotgun a Beer
beer, Shotgun a Beer
beer, Construct a Beer Bong
beer, Shotgun a Beer
coin, Put a Coin in a Coin Holder
coin, Spin a Coin
coin, Win a Coin Toss
coin, Clean Coins
kids, Entertain Kids
kids, Entertain Kids
kids, Entertain Kids
kids, Entertain Kids
Trace a circle, Draw a Circle
scarf, Knit a Scarf
scarf, Tie a Silk Scarf
magic wand, Make a Wand
drywall, Cut Drywall
caulk, Caulk a Bath Tub
caulk, Caulk a Bath Tub
grout, Dye Grout for Mosaic Tiles
lungs, Take Good Care of Your Lungs
practice deep breathing, Breathe Deeply
Breathe in, Breathe
Exercise in water, Exercise to Become a Better Swimmer
stretching, Stretch
weight lifting, Lose Fat With Weights
yawning, Avoid Sleeping and Yawning During the Day
yawning, Make Yourself Yawn
Singing, Sing
how to swim, Swim
cake, Bake a Cake
Prepare the cake mix, Bake a Cake
refrigerator, Clean a Refrigerator
refrigerator, Clean a Refrigerator
refrigerator, Clean a Refrigerator
refrigerator, Clean a Refrigerator
refrigerator, Buy a New Refrigerator
refrigerator, Clean a Refrigerator
refrigerator, Arrange Refrigerator Shelves
refrigerator, Replace a Refrigerator Door Seal
refrigerator, Chose an Energy Efficient Refrigerator
refrigerator, Fix a Common Refrigerator Problem  With Just the Palm of Your Hand
refrigerator, Clean a Refrigerator
microwave safe dish, Test if a Dish Is Microwave Safe
thunderstorm, Protect Yourself in a Thunderstorm
thunderstorm, Protect Yourself in a Thunderstorm
moving, Survive Moving
moving, Move
Repair the walls, Repair Drywall Tape That Is Separating from Your Walls
Fill the holes, Repair Holes in Drywall
Clean the kitchen, Clean a Kitchen
oven, Clean the Insides of a Double Pane Window in Your Oven Door
oven, Reduce Oven Grime
oven, Reduce Oven Grime
oven, Preheat an Oven
oven, Reduce Oven Grime
oven, Preheat an Oven
cabinets, Clean Rancid Grease from Cabinets
sink, Clean a Ceramic Sink Without Chemicals
sink, Unclog a Kitchen Sink
sink, Unclog a Kitchen Sink
Clean the bathrooms, Clean a Bathroom
tub, Clean the Tub
Clean the fireplace, Clean a Fireplace
 new address, Write a Letter for Change of Address
triangle, Calculate the Area of a Triangle
triangle, Draw an Equilateral Triangle
MC Escher, Draw an Impossible Cube
equilateral triangle, Draw an Equilateral Triangle
ringtone, Create and Upload a Ringtone
duct tape, Make a Duct Tape Wallet
duct tape, Make a Duct Tape Rose
duct tape, Make a Duct Tape Book Mark
duct tape, Make a Duct Tape Viking Hat
duct tape, Make a Duct Tape Hat
duct tape, Make a Duct Tape Rose
duct tape, Make a Duct Tape Mini Skirt
duct tape, Make a Duct Tape Book Mark
duct tape, Make a Duct Tape Viking Hat
duct tape, Make a Duct Tape Wallet
fashion sense, Have a Great Sense of Style
floor, Mop a Floor
floor, Mop a Floor
making duct tape fabric, Make Duct Tape Fabric
irritating, Know if You Are Irritating
skin, Have Perfect Skin
skin, Have Beautiful Skin
skin, Have Perfect Skin
shorts, Make Denim Cut off Shorts
shorts, Make Denim Cut off Shorts
tights, Dry Pantyhose in a Hurry
 hot, Be a Hot Girl
painfully, Handle Excruciating Pain
Frown, Smile and Frown
alone, Cope With Being Alone at Night
cheer, Cheer Up
bad date, Escape a Bad Date (Part 1)
business, Finance Your Business
business, Start a Small Business
business, Start a Small Business
good hygiene, Avoid Common Hygiene Mistakes
good hygiene, Avoid Common Hygiene Mistakes
teeth, Whiten Teeth
teeth, Brush Teeth Without Toothpaste
teeth, Whiten Teeth
infections, Reduce the Risk of Hospital Spread Infections
brushing your teeth, Brush Your Teeth
breath, Prevent Bad Breath
breath, Breathe
dentist, Avoid Tooth Decay
chapping, Heal Sore Lips
intelligent, Be Intelligent
intelligent, Be Intelligent
joke, Tell a Joke
cheekbones, Get Perfect Cheekbones
eyebrows, Get Neat Eyebrows
eyebrows, Get Neat Eyebrows
eyebrows, Shape Your Eyebrows Without Plucking
more photogenic, Be Photogenic
destroy them, Destroy-Sensitive-Documents
number, Factor a Number
number, Do Number Magic
number, Use a Number Line
algebraic, Learn Algebraic Topology
juggling, Start Contact Juggling
juggling, Do a Top to Top Butterfly Pass in Contact Juggling
juggling, Juggle a Soccer Ball
juggles, Juggle
mathematical operations, Do the Order of Operations
mathematician, Play Pool Like a Mathematician
salary, Figure out Your Yearly Salary
age, Know The Right Age to Get Married
age, Live Happily During Old Age
GPA, Calculate GPA
GPA, Calculate GPA
GPA, Calculate GPA
Division, Divide Polynomials Using Synthetic Division
religious, Watch out for Cults That May Try to Convert You
old friends, Approach an Old Friend
old friends, Find Old Friends Online
put an end to the destructive cycle, End a Controlling or Manipulative Relationship
analyze, Analyze Yourself
straight-A, Get Straight A's
grades, Get Good Grades
grades, Get Good Grades
grades, Improve Your Grades
grades, Get Good Grades
goals, Set Goals
goals, Achieve Short Term Goals
Infatuation, Know the Difference Between Love, Infatuation and Lust
lies, Detect Lies
support system, Build a Social Network
charming, Be Charming
charming, Be Charming
Get out as fast as you can, End a Controlling or Manipulative Relationship
leave, End a Relationship
maintain a healthy relationship, Have a Healthy Relationship
Take steps to end it '''swiftly''' and leave - '''now, End a Controlling or Manipulative Relationship
learn how to brainstorm, Brainstorm
 criminal record, Tell-a-Loved-One-About-Your-Criminal-Records
serving time, Deal With Being in Prison
 job search, Get-a-Job
Employ yourself, Start Your Own Business
joining the military, Join the Military and Survive Bootcamp
survive a fall from heights, Survive a Long Fall
beach, Look Good at the Beach
mildew, Remove Mold and Mildew
mildew, Remove Mildew Smell from Clothing
vinegar, Make a Baking Soda and Vinegar Rocket
vinegar, Make a Baking Soda and Vinegar Rocket
washer, Fix a Leaky Washer
washer, Winterize Your Washer
dryer, Wire an Electric Dryer
dryer, Improve the Lifespan of your Clothes Dryer
Towels, Identify and Choose High Quality Bath Towels
ammonia, Make Soapy Ammonia Cleaning Solution
detergent, Remove the Scent of Detergent or Fabric Softener from Clothing
bleach, Avoid Ruining Clothing with Bleach
bleach, Bleach Your Hair Platinum Blonde
Michael Jackson, Do the Michael Jackson Side Slide
dress shoes, Choose Comfortable Dress Shoes
keeping their rooms tidy, Keep a Bedroom Tidy
parent, Be a Good Parent
parent, Be a Good Parent
parent, Be a Good Parent
parent, Parent Effectively.
parent, Forgive an Abusive Parent
parent, Be a Good Parent
roommate, Survive a Messy Roommate
roommate, Be a Good Roommate
room, Paint a Room
room, Measure a Room
chat, Understand Chat Acronyms
chat, Be Safe in the Chat Rooms
chat, Be Safe in the Chat Rooms
chat, Use Proper Chat Room Etiquette
chat, Get Started with IRC (Internet Relay Chat)
album, Make a Great Album
singing, Sing
dancing along, Find Your Own Dancing Style
curtains, Use a 280 Cm Wide Fabric for Curtains
windows, Wash Windows
windows, Clean a Window
windows, Repair a Tear in a Window Screen
trash, Take out the Trash
trash, Take out the Trash
furniture, Move Heavy Furniture
furniture, Move Heavy Furniture
bookshelves, Build Wooden Bookshelves
laundry, Do Laundry
laundry, Do Laundry
dressers, Organize Your Dresser
stuffed animals, Wash Stuffed Animals
photographs, Create Stereo Photographs
purses, Select a Purse
dishes, Wash Dishes
dishes, Wash Dishes
dishes, Wash Dishes
dishes, Remove Deep Stains from Dishes
sheets, Store Sheets and Pillowcases
magazines, Find Apparel You've Seen in Magazines Online
Organize your bookshelf, Organize a Bookshelf
organizing, Organize Your Desk
picture frames, Make an Orange Juice Picture Frame
Mop, Mop a Floor
door knobs, Handpaint Knobs for a Room
ceiling fan, Clean a Ceiling Fan
Collect, Collect Cool Stuff
Take a few pictures, Take Hand Held Pictures Indoors Without Flash
you should, too, Cheat a Polygraph Test (Lie Detector)
Learn to cry on demand, Cry
apology, Write an Apology Letter to a Teacher
forgiveness, Find Forgiveness through God
mistakes, Accept Mistakes and Learn from Them
mistakes, Avoid Repeating the Old Same Mistakes All over Again
mistakes, Accept Mistakes and Learn from Them
being humble, Be Humble
apologize, Apologize to Your Older Sister
mistake, Handle a Mistake
Boss, Be a Good Boss
late, Pull Off Being Late to a Meeting
birthday, Have a Birthday Party
stressed, Relieve Stress
job, Get a Job
job, Apply for a Job
job, Get a Job
job, Get a Job
job, Apply for a Job
job, Get a Job
job, Get a Job
job, Get a Job
job, Get a Job
list, Memorize a List in Order
list, Memorize a List in Order
list, Memorize a List in Order
loved ones, Bond With Friends and Loved Ones
relaxed, Feel Relaxed
relaxed, Feel Relaxed
forgive, Forgive After an Affair
Set all your clocks, Set a Clock
dinner date, Be Polite at a Dinner
Don't hit the snooze button, Stop Hitting the Snooze Button
watch TV, Watch Television
brushing my teeth, Brush Your Teeth
organized, Stay Organized
looking for your car keys, Keep Track of Your Keys
interview, Go to an Interview
church, Find a New Church
look, Look Emo
status, Regain Lost Social Status for School
how to not be an obsessive girlfriend, Not Be an Obsessive Girlfriend
 pirate, Release the Pirate Within
Facebook, Permanently Delete a Facebook Account
Facebook, Post a YouTube Video on Facebook
Facebook, Make a New Facebook Account
Facebook, Facelift Your Facebook
Facebook, Create a Facebook Profile
Facebook, Quit Facebook
Facebook, Advertise on Facebook
Facebook, Advertise on Facebook
Facebook, Facelift Your Facebook
Facebook, Create a Facebook Profile
Facebook, Post a YouTube Video on Facebook
note, Make a Secret Note
song, Memorize a Song
song, Memorize a Song
song, Write a Song
Define your goals, Set Goals
birthdays, Write a Birthday Invitation
birthdays, Make a Birthday Goodie Bag for Adults
college friends, Make Friends in College
group, Create a New Facebook Group
part time job, Become a Part Time Caregiver
invest that money in stocks, Invest in Stocks
child, Read Aloud to a Child
gas scooter, Build a Gas Scooter
adobe wall, Build an Adobe Wall
calculate the center of gravity, Calculate Center of Gravity
Leave Facebook, Permanently Delete a Facebook Account
email, Email a Professor
email, Write an Email to a Friend
classes, Take Online Distance Education Classes
lunch, Pack a Lunch Box
impressive tricks with a tech deck, Impress People With a Tech Deck
foreign language, Pass a Foreign Language Class
floppy-disk, Format a Floppy Disk
photographic, Copy a Photograph from Internet to Hard Disk
one dollar bill, Make a Pen Penetrate a Dollar Bill
dollar bill, Fold a Dollar Bill to Make a Finger Ring
dollar bill, Make a Wrinkley Dollar a Crisp Dollar
dollar bill, Win a Dollar with a Trick
hot dog bun, Make a Chicago Hot Dog
technology, Convince Elders to Buy Technology
survival, Use Good Survival Tricks if Lost
survival, Use Good Survival Tricks
survival, Use Good Survival Tricks if Lost
weather report, Read an Aviation Routine Weather Report (METAR)
grass, Cut the Grass
grass, Whistle Using Grass
grass, Cut the Grass
rain, Camp in the Rain
sky, Photograph the Night Sky
sky, Make the Sky in a Room
winter, Survive a Winter Storm
winter, Survive a Cold Winter
Observe animals, Communicate With Animals
Cows, Draft Cows and Calves in the Paddock
Cats, Control Stray Cats
Cats, Control Stray Cats
campfire, Build a Campfire
forming hypotheses, Write a Hypothesis
make your own, Make a Simple Weather Barometer
make your own, Make Guitar Picks
diaper, Make a Diaper Cake
diaper, Change a Diaper
diaper, Treat Diaper Rash
mom, Be a Cool Mom
diaper cake, Make a Diaper Cake
diapers, Wash Diapers
rubber band, Make a Rubber Band Ball
rubber band, Make a Rubber Band Gun
wreath, Create a Wreath
ribbons, Curl Ribbons With Your Fingernail
ribbons, Make a Flirty Hairstyle With Ribbons
ribbons, Make a Flirty Hairstyle With Ribbons
Curl the ribbons, Curl Ribbon
lotions, Apply Lotion to Your Own Back
shampoos, Shampoo Hair Naturally
diaper cream, Make Your Own Diaper Cream
clean them, Clean Coins
cocktail, Make a Cocktail
herbs, Grow Herb Gardens from Seed
safe, Be-Safe
heavy metal, Appreciate Death Metal
heavy metal, Be a Good Live Heavy Metal Singer
Be confident when you meet them, Be Confident
Make good conversation, Have a Great Conversation
Treat your girl well, Treat a Girl Well
warnings, Recover Deleted History in Windows#Warnings
warnings, Recover Deleted History in Windows#Warnings
auto accidents, Avoid Accidents While Driving
tangled up in it, Untwist a Seat Belt
make a plan, Form a Plan
cell phone, Use a Cell Phone
cell phone, Use a Cell Phone
cell phone, Use a Cell Phone
cell phone, Use a Cell Phone
cell phone, Buy a Cell Phone
quiz, Make a Quiz
furnish, Furnish a Room for 350 Dollars or Less
know how far you're willing to let things go, Know if You Are Ready to Have Sex
tell your partner that you're not ready to take it all the way, Tell Someone You Are Not Ready to Have Sex
tell them NO, Tell Someone NO!
how to wear certain clothes that'll minimize or hide the parts of your body that you're most self-conscious about, Dress to Make Yourself Look Skinnier
Build self confidence, Build Self Confidence
Break counterproductive habits, Break a Habit
how to avoid laughing at inappropriate times, Stop Laughing when You Laugh at Inappropriate Times
Be humble, Be Humble
how to be optimistic, Be Optimistic
Learn to listen, listen
respect, Be Respected
and hygienic, Be Hygienic
Learn to read facial reactions and body movements, Read Body Language
remain silent, Remain Silent for a Whole Day
accept it gracefully, Accept Criticism
how to drive, Drive
Lifting, Lift a Heavy Object Safely
tighten your trucks, Tighten Skateboard Trucks
write the best resume in the world, Write a Resume
resume, Include References on a Resume
write one, Write a Functional Resume
network, Build a Social Network
reach its goals, Achieve Short Term Goals
spelled everything correctly, Spell Commonly Misspelled Words
Avoid colloquial (informal) writing, Avoid Colloquial (Informal) Writing
Check the punctuation use carefully, Use English Punctuation Correctly
professional, Appear Professional
sell yourself, Sell a Product
autobiography, Write an Autobiography
"How to Calculate Your Target Heart Rate", Calculate Your Target Heart Rate
ninja, Ninja Fight
Invest in real estate, Invest-in-Preconstruction-Real-Estate
Be frugal, Save-Money
Food poisoning, Avoid Food Poisoning
pretty, Look Pretty
funny, Be Funny
criticisms, Give Constructive Criticism
phone, Use a Phone
phone, Use a Phone
phone, Use a Phone
phone, Answer the Phone Politely
speak, Speak Clearly
companies, Get Companies to Send You Free Stuff
rotary, Dial a Rotary Phone
customer service, Speed up a Customer Service Call
Billing, Track Medical Billing Performance
funnel, Make a Funnel from Bottle
jobs, Change Jobs
travel, Travel Light
Dictionary, Use a Dictionary
Landscaping, Landscape With Solar Lighting
construction, Get a Construction Loan
becoming a farmer, Become a Farmer Without Experience
internships, Find an Internship
harvest, Harvest Sweet Pea Seed Pods
Fishing, Take Children Fishing
web-based service, Be a Hobo with a Web Based Income
programming, Learn a Programming Language
debts are paid, Repay Your Debts
savings, Save Money
wallet, Secure a Wallet
wallet, Make a Duct Tape Wallet
wallet, Secure a Wallet
cooking, Learn Cooking Basics
cooking, Learn Cooking Basics
cooking, Learn Cooking Basics
gas, Save Money on Gas
vehicle, Jumpstart a Vehicle
vehicle, Repair Your Vehicle
vehicle, Jumpstart a Vehicle
bicycles, Buy a Bicycle
motorcycle, Transport a Motorcycle
Buses, Ride Metro Transit Buses
sleep in your car, Sleep Comfortably in a Car
squat in an abandoned building, Squat in Abandoned Property
stay in hostels or motels, Find a Cheap Motel or Hostel
take showers, Take a Shower
gym, Get Fit in the Gym
maps, Read a Map
cabin, Stay Warm When Sleeping in a Cabin
woods, Survive in the Woods
car dealership, Start an Online Car Dealership in California
Utah, Move to Utah
be a good house guest, Be a Good House Guest
camp, Camp in the Wilderness
churches, Find a New Church
begging for money, Panhandle
cut a deck of cards, Easily-Cut-a-Deck-of-Cards
amazing card tricks, Do-Amazing-Card-Tricks
Shuffle the cards, Shuffle-a-Deck-of-Cards-%28Riffle---Bridge%29
Do a one-handed cut, Charlier---Easiest-One-Handed-Cut
writing on a wiki, Contribute to wikiHow
 How to Drink Water for Health, Drink Water for Health 
friends zone, Escape the Friend Zone
ocarina, Play the Ocarina
instrument, Learn to Play an Instrument
pigeons, Tame Pigeons to Be out of Cage Permanently
high fructose corn syrup, Avoid High Fructose Corn Syrup
new hairstyle, Choose a Hairstyle
make-up, Apply Makeup
Self-confidence, Be Confident
mouthwash, Make Peppermint & Tea Tree Mouthwash
fruits, Make-a-Fresh-Fruit-Salad
honey, Reliquefy-Granulated-Honey
dark chocolate, Taste Dark Chocolate
several ways to do this, Eat Healthy for Life
secret message, Write an Invisible Message
Be hygienic, Be Hygienic
Have a great conversation, Have a Great Conversation
Play hard to get, Play Hard to Get
Be patient, Be Patient
Kiss her, Kiss a Girl
Handbrake, Use Handbrake on a Mac
iSquint, Use iSquint
mango, Make Mango Souffle
tropical fruit, Make a Tropical Breakfast
Wash, Wash Fruit and Vegetables
Wash, Wash Your Clothes
word, Invent a Word
wikihow, Survive at wikiHow
wikiHow, Contribute to wikiHow
computer program, Minimize a Full Screen Computer Program
Paint, Invert Colours in MS Paint
Paint, Stencil Fabric
headaches, Heal and Prevent Migraine Headaches
hangover, Get Rid of a Hangover
IM, Disable IM Forwarding on AOL Instant Messenger
speaking, Speak Clearly
language, Learn a New Language
language, Learn a Second Language
message, Send a Text Message
text messaging, Text Faster
mailing list, Create a Mailing List for Blogger
text-message, Send a Text Message
World of Warcraft-addicted, Break a World of Warcraft Addiction
teen, Pass Time as a Teen
Ask, Ask a Question Intelligently
Ask, Ask a Question Intelligently
say the wrong thing, Never Say the Wrong Thing (in All Forms of Communication)
formal writing, Write a Formal Email
keyboard, Clean a Keyboard
keyboard, Clean a Keyboard with Compressed Air
forum, Use an Internet Forum
best friends, Become Best Friends With Your Crush
crying, Stop Yourself from Crying
daughter, Be an Excellent Daughter That Your Parents Love
husband, Be a Great Husband
son, Be a Good Son
wife, Be a Great Wife
editing, Find Wiki Pages That Need Editing
life, Excel in Life
life, Excel in Life
life, Enjoy Life
life, Love Life
online predators, Identify and Avoid Predators
lawyer, Become a Lawyer in the United States
lawyer, Hire a Lawyer
shoe, Sew a Scented Shoe Stuffer
love, Write a Love Letter or Love Poem
naked, Look Sexy when Naked
kid, Be a Spy Kid
loser, Avoid Becoming a Loser
long distance relationship, Make a Long Distance Relationship Work
socks, Not Lose Socks
socks, Not Lose Socks
socks, Fold Men's Socks
brother, Tolerate an Annoying Brother
sister, Be a Good Big Sister
MMORPG, Choose an MMORPG
male, Avoid Male Stereotypes
female, Be the Alpha Female
online love, Find a Date Online
shoulder, Fix a Dislocated Shoulder
RPG, Run an RPG
role, Role Play
roleplay, Roleplay Online
gay, Accept That You Are Gay
thanks, Say Thanks in Different Languages
thank, Thank Someone
thank, Thank Someone
call, Call a Guy
call, Call 911
mileage, Increase Fuel Mileage on a Car
espresso, Make an Espresso (Espresso Coffee)
espresso, Make an Espresso (Espresso Coffee)
latte, Make a Latte
tying your shoes, Lace Shoes
Remain calm, Be Calm in a Stressful Situation
Remain calm, Calm Down
Playing dead, Play Dead
avoid one altogether, Prevent a Shark Attack
diving, Prepare for Your First SCUBA Dive
egg straight from the chicken, Keep Chickens in a City
Stop caring about how people perceive you, Not Care What People Think
Be honest and open, Be Honest Without Being Harsh
Stop worrying, Stop Worrying and Start Living
spinach, Make Cream Spinach
Develop and express your individuality, Express Your Individuality
flavor, Infuse Vodka With Flavor
Halloween, Celebrate Halloween
Halloween, Celebrate Halloween
Halloween, Celebrate Halloween as a Teenager
flour, Make Beads from Flour and Water
flour, Make Beads from Flour and Water
flour, Make Flour Tortillas
chocolate syrup, Make a Chocolate Syrup Treat
chocolate syrup, Make Choco Vanilla Syrup
hair gel, Gel Your Hair
hand sanitizer, Properly Use Hand Sanitizer
milk, Milk a Cow
peanut butter, Make Peanut Butter
peanut butter, Make Peanut Butter Cookies
peanut butter, Make Peanut Butter
vampires, Get the Vampire Look
zombies, Dodge Zombies in Resident Evil
magicians, Be a Great Magician
magicians, Make a Magicians Tool Box
hunting, Go Deer Hunting
hunting, Go Deer Hunting
hunting, Hunt Pheasants
facial expressions, Have a Pleasant Facial Expression
facial expressions, Have a Pleasant Facial Expression
facial expressions, Have a Pleasant Facial Expression
anxious, Deal With Anxiety
decision, Make a Personal Decision
Tarot deck, Conduct a Tarot Reading
tea leaves, Use Leftover Green Tea Leaves
actor, Become an Actor
mother, Be a Good Mother
Stick around and help, Contribute to wikiHow
frame, Make a Shell Frame
dye, Dye Hair
wallpaper, Remove Wallpaper
flashlight, Create a Flashlight
flashlight, Create a Flashlight
drains, Unclog a Bathroom Sink That Drains Slowly
Dust with Boric Acid, Flour and Cocoa, Get Rid of Roaches with Borax
Use cockroach traps, Trap Cockroaches
Keep the kitchen clean, Clean a Kitchen
Fix dripping faucets or leaks, Fix a Leaky Faucet
'''Seal cracks, Seal Used Caulking Tube
'''Seal cracks, Seal Used Caulking Tube
coffee grounds, Deodorize With Coffee Grounds
dog, Pick up Dog Poop
necklace, Make a Beaded Necklace
pendant, Make a Wooden Pendant for a Necklace
bead, Make a Spiral Wire Bead Ring
Increase your vertical leap, Increase Your Vertical Leap
legs, Have Perfect Legs
legs, Have Perfect Legs
legs, Shave Your Legs
Dribble, Dribble a Basketball
foot, Foot Hop
tennis ball, Hit a Tennis Ball
tennis ball, Make a Tennis Ball Puppet
golf ball, Drive a Golf Ball
volleyball, Bump a Volleyball
muscle, Build Muscle
NBA, Play NBA Hangtime on Nintendo 64
search, Search Google
guests, Entertain Guests
Jello, Make Jello Shots
Jello, Make Jello Shots
boiling water, Boil Water
stir, Stir a Beverage Noiselessly
centerpiece, Make a Thanksgiving Centerpiece
dessert, Make Dessert Watermelons
dessert, Make Dessert Watermelons
dessert, Make a Yummy Apple Dessert
Pineapples, Grow Dwarf Pineapples
melons, Grow and Pick Melons
basket, Make a Feminine Basket for Your Daughter
vase, Make a Vase
iceberg lettuce, Keep Lettuce and Salads Fresh for Weeks
dipped chocolate fruit pieces, Make Chocolate Covered Fruit
grapes, Make Frozen Grapes
bananas, Ripen Raw Bananas
topic not yet covered, Search wikiHow
this page to learn more ways to contribute to wikiHow, Contribute to wikiHow
Sneezing, Stop Sneezing
tissue, Make a Tissue Pouch
tissue, Make a Tissue Paper Crisp Packet
nose, Unblock Your Nose
nose, Stop a Nose Bleed
nose, Prevent Nose Bleeds
nose, Unblock Your Nose
nose, Unblock Your Nose
cold, Treat a Cold
using a tissue, Use a Tissue
mouth, Remove a Mouth Ulcer
health, Be More Aware of Your Health
being skeptical, Be a Skeptic
problems, Handle Problems
quality of life, Create an Extraordinary Quality of Life
science, Do Well in Science Class
childhood, Find a Book from Your Childhood
failure, Overcome Failure
adult, Return to Learning As an Adult
your life, Recreate Your Life
 school, Learn in School
locker, Personalize Your Locker
 computer monitor, Degauss a Computer Monitor
Look happy, Smile
have confidence, Be Confident
Things You'll Need, Add Color to a Fluorescent Light#Things_You'll_Need
Things You'll Need, Make a Crop Circle#Things_You'll_Need
Things You'll Need, Make a Crop Circle#Things_You'll_Need
change, Change Jobs
career path, Decide on a Career Field
resigning, Resign from a Job
managers, Become a Good Manager
resignation, Write a Resignation Letter
pay raise, Ask for a Pay Raise
benefits, Get Information on Medicare Benefits
promotion, Get a Promotion
negotiating, Negotiate
Be honest, Be Honest With Yourself
be truthful without being cruel, Be Honest Without Being Harsh
letter of resignation, Write a Resignation Letter
relocate, Relocate to Germany
nice, Be Nice
generous, Be Generous
Learn how to prevent acne, Avoid Acne
see a doctor, Find a Doctor
Just relax, Relax
partner, Find the Right Partner or Spouse
wake you, Wake up a Person
Learn how to lucid dream, Lucid Dream
Buy a guitar, Get a Great Guitar Sound for a Low Price
learn how to tune it, Tune-a-Guitar
learn how to use them, Alternate-Pick
Learn to read tablature, Read-Guitar-Tabs
 simple chords, Rock-out-on-Your-Guitar
pop the hood, Get Under the Hood of a Vehicle
oil stain, Remove Oil Stains from Concrete Driveway and Garage
not to cross the threads, Reinstall Screws and Bolts
story, Put Together a Story
story, Put Together a Story
story, Write a Short Story
story, Write a Good Story
characters, Create Great Characters
characters, Create Great Characters
gas prices, Save Money on Gas
Change the oil, Change the Oil in Your Car
'''Change the air filter, Change Your Air Filter
replace, Replace Disc Brakes
Keep the tires inflated, Check the Air Pressure in Your Vehicle's Tires
Monitor your tire tread, Know when Car Tires Need Replacing
Wash your car, Wash a Car by Hand
fears, Overcome Your Fears Through Visualization
manipulation, Recognize a Manipulative or Controlling Relationship
abuse, Deal with Emotional Abuse
abuse, Deal with Emotional Abuse
acts of kindness, Practice Random Acts of Kindness
acts of kindness, Practice Random Acts of Kindness
guilt, Deal With Guilt
guilt, Eliminate Guilt
say "no.", Say No Respectfully
Dye your hair, Dye Your Hair With Indigo
Dye your hair, Dye Your Hair Dark With Natural Ingredients
Dye your hair, Dye Your Hair Multicolored.
Dye your hair, Dye Your Hair Using Kool Aid
tattoo, Choose a Tattoo Design
belly ring, Clean Your New Belly Piercing
holiday, Vacation in Kauai for a Week
holiday, Write a Holiday Story
selfish, Stop Being Selfish
individualist, Be an Individual
society, Appear Successful in Modern Society
it's what's inside that counts, Feel Beautiful on the Inside
attitude, Have a Skater Attitude
leather, Soften a Leather Belt
denim, Make Dirty Denim Distressed Cut off Shorts
denim, Make a Cute Denim Skirt
Anarchy, Be an Anarchist
Pants, Make a Pair of Pants Into Punk Bondage Pants
zippers, Replace Jean Zippers
skirts, Make Your Own Skirt
Converse, Wear Your Converse
skate shoes, Buy Good Skate Shoes
straight edge, Look Straight Edge
skinhead, Be a Skinhead
skater punk, Be a Rocker or Skater
pop punk, Be Punk Pop
sport a mohawk, Put up a Mohawk or Liberty Spikes
Mohawk, Have a 5   Minute Mohawk
liberty spikes, Put up a Mohawk or Liberty Spikes
beads, Use Crimp Beads
beads, Use Crimp Beads
beads, Make and Color Clay Beads
beads, Make and Color Clay Beads
spiked, Spike Your Hair
80s, Be an 80s Punk
80s, Be an 80s Punk
dreadlocks, Give Yourself Dreadlocks
teased, Tease Your Hair
layered, Layer Your Hair
dyeing, Dye Hair
Horror punk, Be Horror Punk
eyeshadow, Apply Eyeshadow
eyeshadow, Apply Eyeshadow
liquid eyeliner, Apply Liquid Eyeliner
cyber, Dress Cyber Industrial Punk
tattoos, Choose a Tattoo Design
tattoos, Care for a New Tattoo
gauged, Gauge Your Ears
concerts, Behave at a Rock Concert
gig, Organise a Gig
Pop Punk, Be Punk Pop
individual, Be an Individual
rebellion, Be a Rebel
dork, Stop Looking Like a Dork (for Men)
violence, Take Action to Prevent School Violence
moshing, Mosh in a Mosh Pit
hard rock, Get Started Playing Hard Rock and Metal Guitar
ska, Attend a Ska Show
smart, Be Smart
spelling, Memorize Words for a Spelling Bee
spelling, Spell
history, Study History Independently
history, Study History Independently
geography, Be Good at Geography
role models, Choose a Role Model
blue hair, Dye Hair Blue
homework, Do Your Homework
homework, Do Your Homework
activist, Become an Activist
government, Improve Government Finance
government, Improve Government Finance
percent, Calculate Percentages
printing, Understand Photographic Laser Printing
criminal, Select a Criminal Defense Attorney
security, Increase Your Home Security
money, Save Money
money, Make Money
money, Make Money
money, Save Money
bill, Make a Pen Penetrate a Dollar Bill
bill, Fold a Dollar Bill to Make a Finger Ring
bill, Make a Shirt out of a One Dollar Bill
counterfeit, Spot Counterfeit Products
currency, Create a Currency Converter With Microsoft Excel
